artist,album,track,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,msPlayed
Gavin Haley,The Way I Am (feat. SOLE),The Way I Am (feat. SOLE),spotify:track:45NfKjEeWUY5LvijC29XSh,0.584,0.49,7,-7.293,1,0.0387,0.76,0,0.104,0.225,99.649,178146,533392
LEEBADA,Blue Ocean,Blue Rose,spotify:track:68F0Awp8Y64KAgvYYbUFc1,0.585,0.547,8,-4.797,0,0.083,0.512,0,0.387,0.237,74.671,207563,961528
Gym Class Heroes,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine),spotify:track:0qOnSQQF0yzuPWsXrQ9paz,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960,51228
Dua Lipa,Don't Start Now,Don't Start Now,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,65724
babychair,Summertime,Call You,spotify:track:0njGlzLAR9VZ2xKkqmFMvE,0.787,0.253,7,-11.997,1,0.0704,0.776,0.236,0.107,0.552,139.976,205536,313624
JJ Lin,學不會,學不會,spotify:track:4189WkgFJTybrDviyQbmdm,0.453,0.604,3,-4.897,0,0.0349,0.67,0,0.0981,0.203,123.716,229500,454541
Jinnie,who are you?,who are you?,spotify:track:3xhYZFALmH1FaJeUvFHgKv,0.769,0.583,0,-8.01,1,0.0476,0.521,0.00293,0.236,0.582,124.979,170152,276079
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",you should see me in a crown,spotify:track:3XF5xLJHOQQRbWya6hBp7d,0.678,0.533,4,-10.485,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,209850
BLACKPINK,Pink Venom,Pink Venom,spotify:track:0skYUMpS0AcbpjcGsAbRGj,0.798,0.697,0,-7.139,1,0.0891,0.0202,0,0.259,0.745,90.031,186964,18138260
Afrojack presents NLW,Party Girl,Party Girl,spotify:track:3ixvutjcI6IsGQ6Qehe1Po,0.599,0.79,3,-6.45,0,0.0326,0.0398,0.000105,0.274,0.0927,145.041,175453,13848284
Kevin de Vries,Dance With Me EP,Dance With Me,spotify:track:7i08AhQcrdD4GLlr2Pmamg,0.792,0.704,6,-7.181,0,0.0631,0.00213,0.564,0.123,0.472,124.003,391591,19060748
Rain,RAIN 2,태양을 피하는 방법 How to Run From the Sun (Gtr.Remix),spotify:track:2ESHlCrJsHzgx8XL1MCkFo,0.829,0.541,10,-7.602,0,0.0601,0.389,0,0.0979,0.41,90,231173,4587080
Albert Posis,Comeback,Comeback,spotify:track:0cDsz6j7PcVvXsZ3a3ji0t,0.588,0.293,7,-9.567,1,0.0819,0.712,0,0.0672,0.659,84.642,187662,4510300
SUZANNE,"The Lonely Witch (Original Soundtrack), Pt. 1",Easy,spotify:track:54WyhCKBQAgubhuobEliX2,0.643,0.533,10,-6.12,0,0.0301,0.441,0,0.323,0.529,84.953,220630,1009532
Suni Hạ Linh,Cảm Nắng,Cảm Nắng,spotify:track:4LDhkOharOhue7nZMFYmCu,0.696,0.412,9,-7.071,1,0.0523,0.518,0,0.0657,0.304,80.015,228750,61787857
Kayy,End of the Story,End of the Story,spotify:track:6vSyVvWdfeynSlmBes22la,0.646,0.428,2,-6.422,0,0.0385,0.689,0,0.103,0.205,96.06,223288,276317
Billie Eilish,dont smile at me,ocean eyes,spotify:track:7hDVYcQq6MxkdJGweuCtl9,0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,200379,128051
Ariana Grande,"thank u, next","thank u, next",spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,1,-5.634,1,0.0658,0.229,0,0.101,0.412,106.966,207320,6642252
saevom,Under The Moon-light 우린 나란히 앉아,Under The Moon-light 우린 나란히 앉아,spotify:track:25CZZwDOl3w7Wm7TeYI6vt,0.562,0.623,7,-5.06,1,0.0378,0.488,3.92E-05,0.179,0.437,152.09,224004,2642964
SUNNYSIDEMJ,First Love Part.2,First Love Two (Feat. Yoon Hae Sol),spotify:track:6VUg4xRprtV573WarNLWBe,0.701,0.719,5,-6.504,0,0.0358,0.574,0,0.0889,0.841,105.947,207706,2028234
Marian Hill,Sway,Got It,spotify:track:4P73ZBrXOmsZA6WXsuxUC1,0.787,0.467,1,-8.29,0,0.0564,0.0552,0.239,0.0481,0.509,164.078,191947,5566750
Sasablue,恋爱频率,恋爱频率,spotify:track:5DB4waYtKSjccgYRmI3o0I,0.642,0.487,3,-7.161,1,0.0878,0.827,0,0.0797,0.493,142.034,199442,12215077
ARO,Heart,Heart,spotify:track:1uqpDGb0e0iUojfx061W0x,0.684,0.462,11,-5.503,1,0.0293,0.532,3.54E-06,0.101,0.344,90.067,205093,1804834
Yayyoung,If You Only Knew,If You Only Knew,spotify:track:5D1pcxANVw9SPSatgy5d1F,0.526,0.331,9,-10.765,1,0.0559,0.458,0,0.289,0.473,179.45,176051,0
Phe R.E.D.S,Senseless (feat. pH-1),Senseless (feat. pH-1),spotify:track:1Rf0Y5oIbtreaNBjmiob5d,0.737,0.609,0,-4.179,1,0.0323,0.194,6.32E-06,0.0702,0.534,116.013,229514,667375
胡期皓,明日创作计划 第一期Pt.1,Blve,spotify:track:7HIqBIy9Mes57JHtt0AS3A,0.653,0.444,9,-10.468,1,0.0933,0.847,0,0.813,0.715,102.085,83233,2979301
LUM!X,Monster,Monster,spotify:track:0YU17F0BlVXvmx5ytsR43w,0.83,0.794,8,-6.279,0,0.432,0.0253,0.0248,0.106,0.607,128.16,154226,9792044
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",all the good girls go to hell,spotify:track:6IRdLKIyS4p7XNiP8r6rsx,0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,168840,5013
